periodo;amazonia;pampa;caatinga;mata_atlantica;pantanal;cerrado
2016-06-01;1663;183;158;901;93;3187
2016-07-01;6120;199;551;3155;542;8675
2016-08-01;18340;383;1504;4165;966;13730
2016-09-01;20460;252;2095;4146;2000;13256
2016-10-01;14234;57;4274;1210;1066;9968
2016-11-01;11610;43;2882;763;215;3647
2016-12-01;5124;59;1528;439;125;932
2017-01-01;796;15;305;385;261;491
2017-02-01;379;21;81;309;73;376
2017-03-01;736;31;70;330;68;687
2017-04-01;618;41;49;261;38;696
2017-05-01;805;39;64;187;48;1428
2017-06-01;1759;65;78;531;93;2858
2017-07-01;7986;262;167;2285;610;6258
2017-08-01;21244;233;795;3201;1092;10815
2017-09-01;36569;65;1759;4939;2588;26975
2017-10-01;14457;55;4030;2003;669;12393
2017-11-01;14105;60;1792;818;214;2345
2017-12-01;7985;49;1814;348;19;1440
2018-01-01;1444;40;316;209;23;521
2018-02-01;888;51;30;264;8;235
2018-03-01;1359;63;58;323;14;842
2018-04-01;513;57;28;490;19;549
2018-05-01;772;70;68;699;28;1729
2018-06-01;1980;33;196;613;46;2922
2018-07-01;4788;47;594;1813;190;5220
2018-08-01;10421;232;1516;2338;275;7992
2018-09-01;24803;67;2820;2309;785;11467
2018-10-01;10654;34;2476;1243;120;5041
2018-11-01;8881;24;1876;450;20;1763
2018-12-01;1842;24;1369;547;163;1168
2019-01-01;1419;20;433;608;337;1213
2019-02-01;1368;32;73;607;211;574
2019-03-01;3383;82;58;661;93;936
2019-04-01;1702;50;28;276;33;753
2019-05-01;854;23;59;240;68;1719
2019-06-01;1880;102;135;814;239;4088
2019-07-01;5318;222;302;1712;494;5346
2019-08-01;30900;446;1304;4689;1690;12906
2019-09-01;19925;273;2827;4333;2887;22989
2019-10-01;7855;72;4716;2184;2430;8356
2019-11-01;11297;30;3212;1499;1296;3251
2019-12-01;3275;68;1813;554;247;1743
2020-01-01;1200;25;293;421;265;662
2020-02-01;1196;72;62;454;164;709
2020-03-01;1641;176;22;549;602;890
2020-04-01;789;335;38;1013;784;1158
2020-05-01;829;309;42;1028;313;1481
2020-06-01;2248;83;83;802;406;3487
2020-07-01;6803;67;265;1323;1684;5663
2020-08-01;29307;380;838;4079;5935;10155
2020-09-01;24473;13;1587;2584;5682;16109
